LOT_ID,EQUIPMENT_CODE,TRAN_TIME,INSP_VERSION,INSP_ITEM_SEQ,VALUE_SEQ,PLANT_CODE,SHOP_CODE,LINE_CODE,DEPARTMENT,CUSTOMER_CODE,PRODUCT_CODE,FLOW_CODE,OPERATION_CODE,STEP_CODE,INSP_ITEM_CODE,INSP_ITEM_NAME,INSP_ITEM_TYPE,VALUE_COUNT,VALUE_TYPE,SPEC_TYPE,TARGET_VALUE,SPEC_MIN_VALUE,SPEC_MAX_VALUE,CTRL_MIN_VALUE,CTRL_MAX_VALUE,SPEC_UNIT,INSP_CONDITION_1,INSP_CONDITION_2,ABNORMAL_FLAG,INSP_VALUE,SPEC_MASK,FINAL_RESULT,SPC_CHART_CODE,SUPER_PASS_FLAG,INSP_UDF_1,INSP_UDF_2,INSP_UDF_3,INSP_UDF_4,INSP_UDF_5,INSP_UDF_6,INSP_UDF_7,INSP_UDF_8,INSP_UDF_9,INSP_UDF_10,INSP_UDF_11,INSP_UDF_12,INSP_UDF_13,INSP_UDF_14,INSP_UDF_15,INSP_UDF_16,INSP_UDF_17,INSP_UDF_18,INSP_UDF_19,INSP_UDF_20
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,1,1,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-파워미터 측정값,,0,,N,,,,,,W,,,,1837,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,2,2,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력1,,0,,N,,,,,,J,,,,657 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,3,3,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력2,,0,,N,,,,,,J,,,,293 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,4,4,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력3,,0,,N,,,,,,J,,,,293 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,5,5,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력4,,0,,N,,,,,,J,,,,657 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,6,6,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력5,,0,,N,,,,,,J,,,,657 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,7,7,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력6,,0,,N,,,,,,J,,,,292 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,8,8,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력7,,0,,N,,,,,,J,,,,292 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,9,9,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력8,,0,,N,,,,,,J,,,,660 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,10,10,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력9,,0,,N,,,,,,J,,,,660 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,11,11,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더1-출력10,,0,,N,,,,,,J,,,,292 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,12,12,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-파워미터 측정값,,0,,N,,,,,,W,,,,1833,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,13,13,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력1,,0,,N,,,,,,J,,,,660 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,14,14,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력2,,0,,N,,,,,,J,,,,657 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,15,15,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력3,,0,,N,,,,,,J,,,,657 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,16,16,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력4,,0,,N,,,,,,J,,,,660 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,17,17,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력5,,0,,N,,,,,,J,,,,660 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,18,18,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력6,,0,,N,,,,,,J,,,,293 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,19,19,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력7,,0,,N,,,,,,J,,,,293 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,20,20,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력8,,0,,N,,,,,,J,,,,292 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,21,21,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력9,,0,,N,,,,,,J,,,,292 8,,OK,,,,,,,,,,,,,,,,,,,,,,
BM4A2NP1T260520Y0318,BM4A-130-A1,20260523213339,3,22,22,1216,,BM4A,,,GI37512900,BM04-A,BM130,BM-130-001,,용접헤더2-출력10,,0,,N,,,,,,J,,,,293 8,,OK,,,,,,,,,,,,,,,,,,,,,,
